År,Data/It,Ekonomi administration och försäljning,Friskvård och kroppsvård,Hotell restaurang och turism,Hälso och sjukvård samt socialt arbete,Journalistik och information,Juridik,Kultur media och design,Lantbruk djurvård trädgård skog och fiske,Pedagogik och undervisning,Samhällsbyggnad och byggteknik,Säkerhetstjänster,Teknik och tillverkning,Transporttjänster
2005,2587,6238,481,2223,2992,114,,2803,920,16,1406,267,3920,822
2006,2546,7582,738,2553,3807,101,61,2938,1341,103,1947,425,4310,1104
2007,2797,8807,883,2906,4200,114,122,2893,1538,186,2388,565,4928,1357
2008,2817,10264,993,3074,4029,159,157,2993,1502,220,2641,626,5563,1590
2009,2857,11286,1009,2965,4091,213,167,2952,1549,250,3183,629,6511,1696
2010,2903,11905,857,2905,4496,256,173,2791,1704,462,3540,544,7142,1859
2011,3160,12179,591,2888,4656,299,175,2567,1654,660,3918,459,7334,1845
2012,3398,11946,371,2592,4525,277,242,2363,1461,454,4363,370,6731,1487
2013,4054,12253,363,2525,4965,413,280,2509,1355,424,4743,336,7036,1116
2014,4937,12261,330,2559,5738,621,284,2627,1251,485,4969,350,7328,941
2015,5812,11670,352,2606,6023,649,309,2769,1307,422,5512,378,7387,1190
2016,6183,11529,303,2533,6162,723,336,2770,1407,534,6066,375,7259,1544
2017,6210,12193,238,2534,6727,802,412,2865,1442,654,6831,275,7058,1850
2018,5704,13797,231,2499,7451,833,438,2904,1360,861,7534,284,6839,1749
2019,7086,15994,302,2718,9031,904,451,3016,1416,1289,9019,408,7763,1673
2020,10283,18491,335,3094,10904,967,484,3432,1613,1528,11547,579,9931,1757
2021,12852,18540,372,3314,12052,936,488,3916,1810,1806,12744,594,11279,1573
2022,14255,17818,408,3007,12880,823,416,4223,1950,1976,13038,763,11309,1490
2023,15162,17354,460,2753,12521,752,346,4457,2091,1510,12561,833,11709,1618
2024,16447,17380,366,2800,11916,646,346,4636,2346,1095,13129,830,13226,1691